feature,importance
num__precipitacao_acumulada,0.21636075
cat__intensidade_chuva_trovoada com chuva fraca,0.079924196
cat__intensidade_chuva_céu limpo,0.078169055
cat__intensidade_chuva_trovoadas,0.062079534
cat__intensidade_chuva_nublado,0.060637552
cat__intensidade_chuva_trovoada com chuva,0.056223813
num__precipitacao_chuva,0.043741502
cat__intensidade_chuva_trovoada com chuva forte,0.042812694
cat__intensidade_chuva_garoa de leve intensidade,0.03787581
num__pressao,0.036497865
num__tempo_chuva,0.034170866
cat__intensidade_chuva_chuva leve,0.031880863
cat__intensidade_chuva_chuva forte,0.031704873
num__umidade,0.031676162
num__ponto_orvalho,0.030678885
cat__intensidade_chuva_chuva fraca,0.030479226
num__temperatura,0.022766016
cat__intensidade_chuva_nuvens dispersas,0.020206153
cat__intensidade_chuva_algumas nuvens,0.0201519
cat__intensidade_chuva_névoa,0.018212987
cat__intensidade_chuva_chuva moderada,0.013749421
cat__intensidade_chuva_chuvas,0.0
cat__intensidade_chuva_chuva muito forte,0.0
cat__intensidade_chuva_chuva leva,0.0
cat__intensidade_chuva_mist,0.0
cat__intensidade_chuva_neblina,0.0
"cat__intensidade_chuva_chuva forte, névoa",0.0
cat__intensidade_chuva_trovoada,0.0
cat__intensidade_chuva_chuva de intensidade forte,0.0
cat__intensidade_chuva_chava moderada,0.0
