prob_alagar,classe_binaria_prevista,risco
0.0009608924,0,baixo
0.9818125,1,alto
0.8793592,1,alto
0.02927546,0,baixo
0.39058632,0,medio
0.34992126,0,medio
0.20647673,0,baixo
0.84212124,1,alto
0.066874474,0,baixo
0.966501,1,alto
0.0082626995,0,baixo
0.7864042,1,alto
0.9986261,1,alto
0.11221111,0,baixo
0.99882895,1,alto
0.34505925,0,medio
0.046984196,0,baixo
0.0027179979,0,baixo
0.69921774,1,medio
0.81169295,1,alto
0.86807525,1,alto
0.42606458,0,medio
0.0041476614,0,baixo
0.8661773,1,alto
0.546795,1,medio
0.6543916,1,medio
0.028440775,0,baixo
0.0055979723,0,baixo
0.029766103,0,baixo
0.2086617,0,baixo
0.8859969,1,alto
0.50997996,1,medio
0.5475347,1,medio
0.0011315051,0,baixo
0.31146067,0,medio
0.013260323,0,baixo
0.83054644,1,alto
0.97009015,1,alto
0.48560044,0,medio
0.30726534,0,medio
0.0017575015,0,baixo
0.012276571,0,baixo
0.7340534,1,alto
0.738926,1,alto
0.9610243,1,alto
0.6899205,1,medio
0.0030241264,0,baixo
0.9831722,1,alto
0.042264782,0,baixo
0.9821859,1,alto
0.9397463,1,alto
0.058560632,0,baixo
0.99144816,1,alto
0.86685735,1,alto
0.8329772,1,alto
0.9925408,1,alto
0.002391153,0,baixo
0.37151158,0,medio
0.9762319,1,alto
0.009950957,0,baixo
0.97929335,1,alto
0.5461863,1,medio
0.70472986,1,alto
0.9988778,1,alto
0.93343806,1,alto
0.9592011,1,alto
0.035214197,0,baixo
0.057551872,0,baixo
0.88907635,1,alto
0.008608879,0,baixo
0.5531238,1,medio
0.8123073,1,alto
0.9372767,1,alto
0.00074016274,0,baixo
0.8712819,1,alto
0.006425566,0,baixo
0.099861115,0,baixo
0.18386911,0,baixo
0.99711156,1,alto
0.9666013,1,alto
0.9841017,1,alto
0.054581437,0,baixo
0.9960615,1,alto
0.24844211,0,baixo
0.01735986,0,baixo
0.99221945,1,alto
0.15178502,0,baixo
0.0021995835,0,baixo
0.016440162,0,baixo
0.9877263,1,alto
0.061109167,0,baixo
0.12159811,0,baixo
0.9959649,1,alto
0.97207314,1,alto
0.9954496,1,alto
0.9898185,1,alto
0.91276443,1,alto
0.9953631,1,alto
0.89317226,1,alto
0.008426701,0,baixo
0.016434427,0,baixo
0.8912325,1,alto
0.0012980581,0,baixo
0.0003472733,0,baixo
0.0028914432,0,baixo
0.40723643,0,medio
0.7656671,1,alto
0.95138013,1,alto
0.0061928667,0,baixo
0.9779468,1,alto
0.33604893,0,medio
0.8929574,1,alto
0.94621897,1,alto
0.99453294,1,alto
0.0011853775,0,baixo
0.8973634,1,alto
0.0143751595,0,baixo
0.62361497,1,medio
0.021230992,0,baixo
0.009926104,0,baixo
0.95122266,1,alto
0.011011016,0,baixo
0.5825627,1,medio
0.15423526,0,baixo
0.93846184,1,alto
0.0008788355,0,baixo
0.19200653,0,baixo
0.0022627446,0,baixo
0.95364904,1,alto
0.3929717,0,medio
0.00041103814,0,baixo
0.99596834,1,alto
0.9885385,1,alto
0.99963284,1,alto
0.3291294,0,medio
0.15067267,0,baixo
0.9982175,1,alto
0.06466264,0,baixo
0.962155,1,alto
0.70391375,1,alto
0.9392236,1,alto
0.66150415,1,medio
0.9784823,1,alto
0.047779243,0,baixo
0.101775125,0,baixo
0.070907,0,baixo
0.545172,1,medio
0.018408949,0,baixo
0.0015241092,0,baixo
0.9172147,1,alto
0.027794804,0,baixo
0.9203029,1,alto
0.048189566,0,baixo
0.9046471,1,alto
0.94671494,1,alto
0.12403494,0,baixo
0.004029243,0,baixo
0.95606554,1,alto
0.020845104,0,baixo
0.9988875,1,alto
0.9932788,1,alto
0.12601455,0,baixo
0.8929941,1,alto
0.41499949,0,medio
0.9942674,1,alto
0.9500702,1,alto
0.9876346,1,alto
0.90304327,1,alto
0.015583955,0,baixo
0.9493508,1,alto
0.5845594,1,medio
0.030155262,0,baixo
0.0067845024,0,baixo
0.0014802318,0,baixo
0.9795419,1,alto
0.0030937395,0,baixo
